pk_clientes;CustomerKey;Customer;Customer Type;Line of Business;Business Unit;Business Family;Regional Sales Mgr;Phone;Division;Address Number
6c69cdb5069e9116670dca0c9ec5cca5f3a050258f4e138a42e0a2c016863f2e;10011546;Farrell Supermarket;G2;Não Informado;1;R3;S1;816-455-8733;1;10011546
e3e2cc00a9053f4c26c63fdd241ebcc875f37472e4ded72bae6cd6fc2b681af3;10025298;U. Supermarket;G3;Não Informado;1;R3;S17;816-455-8733;1;10025298
c5cd8544e4a29b6f4516d5375007f345281a6f833133d854a83929cfae01d2ee;10025288;Transylvania Supermarket;G1;M1;1;R3;S19;816-455-8733;1;10025288
e4b5b1779597a024dda66142cd693411eaeb83b55d50f09fce1f35518f52cc31;10020962;Output Supermarket;G2;Não Informado;1;R2;S5;816-455-8733;2;10020962
9f3bc253162d6dfa845cd6beebcfa889c017ecd6b53cd4970220cf243a12ba11;10025495;UniForum Shop;G2;Não Informado;1;R3;S5;816-455-8733;2;10025495
a3038eaa6b3c629c84b584158b83430a3730f39e842ef05dfd59ff4d3e639986;10025062;TargetedListings Shop;G2;Não Informado;1;R3;S1;816-455-8733;2;10025062
1ef036595c4e804bc3fd1d80f57ff2dcaeea8882a65d450670acf21b93663e6d;10013899;Grumman Market;G2;Não Informado;1;R3;S1;816-455-8733;1;10013899
d2a84b1276bdc4409867a621a37ff72c526f5af5e5187fc90cc2953e1c68c180;10025549;UNIS Supermarket;G2;Não Informado;1;R2;S5;816-455-8733;2;10025549
f1cf92680b617ecfc108ca6f80c836803338506e826e8f3a8379f6036b638351;10013312;Gate9th Shop;G2;Não Informado;1;R2;S9;816-455-8733;1;10013312
b8af31915483071b353b3163ad013cab9e421a76f03265aeff05a3a650061c86;10021412;Panngea Shop;G2;Não Informado;1;R4;S18;816-455-8733;2;10021412
db68497d4849a8a993c921d68146a8db7f5678cd51b8749030c0e52cf27a7e66;10024999;TAGnology Shop;G2;Não Informado;1;R2;S5;816-455-8733;2;10024999
cb5cc2712e650edf737469a3f9d9e88cfc9ac0bb07516c079b4062b5a677d728;10025291;Trend Market;G2;Não Informado;1;R3;S16;816-455-8733;2;10025291
d62482fe024722954c59ffebe857d874f17a11c8f4356e8647277af8a3f25135;10021107;P.C.G. Supermarket;G2;Não Informado;1;R3;S1;816-455-8733;1;10021107
455ea7b982860653b7a0a98495ecd35e92668688a40b1b55f01c8abf336ad965;10004302;Berkeley Supermarket;G2;M1;1;R3;S1;816-455-8733;2;10004302
447bbb19feb4a1c22e8a16cc69c0956507bac1d08d4e31d3583208d3381adf30;10009679;Debenhams Supermarket;G2;Não Informado;1;R3;S16;816-455-8733;2;10009679
