pk_local;Region Code;Address Number;City;Country;Customer Address 1;Customer Address 2;Customer Address 3;Customer Address 4;State;Zip Code
809f77c185ed7865cde5b35c72b04fb0168ed26e4a421ec76c8cb63a867240ce;0;10002220;Prince George;CA;1594 Nicholson Street;Não Informado;Não Informado;Não Informado;BC;V2N 1V6
629be0ebf84953be5f5ec9478f5385c4a362f3344b948eb4d580ce40c81c50d9;0;10009885;Winnipeg;CA;PO Box 7100;Não Informado;Não Informado;Não Informado;MB;R3C 3B3
f60950dfde0bfb31fb193ea93a2f048de2e61f7f6adb005b202bb4ec3f13d40c;5;10024880;"";"";"";"";"";"";"";""
3b68ea7db7172b984f3ab0a6fa1e8651b371e9bc1e2ec9b6f96c7ed99c9c71e4;3;10003720;Hermitage;US;2755 Kirila Boulevard;Não Informado;Não Informado;Não Informado;PA;16148
d3fa81d108f10f5e98174b5095ac28e585f17c2f8cca7cb0533b984c201576ee;1;10021184;Aurora;US;14312 Stenbock Way NE #F;Não Informado;Não Informado;Não Informado;OR;97002
2aad9c3e8a87909a0cbac8e4a69c6d73cc069d01c13aece6b97ba8bad2efc100;4;10010974;Chippewa Falls;US;13296 County Highway 00;Não Informado;Não Informado;Não Informado;WI;54729
777b2a0c1652fef6da9264a0aeaf75d4879064ebef897bcfa9a43d36f2f64b9e;3;10006848;Fredericksburg;US;1101A Potomac Avenue;Não Informado;Não Informado;Não Informado;VA;22405
a48e33168e16d4da34d93ff5d4fe3a67707e3f84fb959fa47e46df20ece7b4b4;5;10026521;Quezon City;IR;97 Banawe Street;Não Informado;Não Informado;Não Informado;Não Informado;1114
c2f5cdd80352b507493aa6fc7ea5ec23f3cc6a66e65db47053245bfa18a47cc3;5;10013127;"";"";"";"";"";"";"";""
9dfc86b3e5562622151a02075c3f1a9d27bcc7570a8abc1796941839a75a004a;2;10026336;Columbia;US;PO Box 26;Não Informado;Não Informado;Não Informado;SC;29202
c590ba7926ee05cf1ba1fe4756745dd9e58f191dc2c3483cbd3722531380b448;2;10019617;Spring;US;2445 FM 2920;Não Informado;Não Informado;Não Informado;TX;77388
19772b4dd4be7e787f6fd2ab90b25839f2cf84ee119749a4d2b679eb8eda895f;0;10014471;Calgary;CA;2916-21st Street Northeast;Não Informado;Não Informado;Não Informado;AB;T2E 6Z2
a200b3bcb1aa9bce37493b0524df2fc3b7ba9e019f29367239a57a9097868400;1;10009647;Sacramento;US;3248 Auburn Boulevard;Não Informado;Não Informado;Não Informado;CA;95821
28af61101494c0a754b450f9853251cb63dbe55faf76e41b15947d682d51fcbc;4;10026055;Eau Claire;US;5100 Highway 93 South;Não Informado;Não Informado;Não Informado;WI;54701
60cd557f935e923f3f3c1b233cb16b8499f8b64f07095a52dff7b9e092266b45;4;10015275;Marshfield;US;1601 East 29th Street;Não Informado;Não Informado;Não Informado;WI;54449
531e104473f4cf71450d4c4b3446f336acf626bafdfcb630008106b096ef8e36;5;10020491;"";"";"";"";"";"";"";""
49a5c794722b0bd49c01707da640a1bbe864684f0f56267b5a6c91d30f31c34b;1;10024260;Spokane;US;PO Box 13056;Não Informado;Não Informado;Não Informado;WA;99213-3056
df89f2e8709e751afe52159ad648e977891ba76ad4759fcf883ef8a178d8dc06;4;10022444;Livonia;US;Detroit Technical Center;37002 Industrial Road;Não Informado;Não Informado;MI;48150
0b82c6b9fbc3f6dd6214a9a52f6dad3964199aaeb44d112f8fe40487c257ab2f;5;10014043;Guadalajara Jal Mexico;IR;Rinconada De La Floresta 1137;Rinconada Del Bosque CP;Não Informado;Não Informado;Não Informado;44530
6830e7632a420daf943495e7e804c77b5e5c3c7b8d0d7affffec398b5cd925fb;5;10026009;Não Informado;AU;2 Calle 25-80 Zona - 15 Vista;Hermosa II Local 2;Não Informado;Não Informado;Não Informado;Não Informado
ffe3b6e5ca8c3d7086fc37623289f943cec9b91c953c037a823d47e0b6fb4e1a;5;10002161;"";"";"";"";"";"";"";""
c2d9eceee5ada7c39a3e9c10d90dac54c7de2ed039f11b2aa2326848686fda58;4;10026606;Dearborn;US;Central Accounting Service;PO Box 6005;Não Informado;Não Informado;MI;48121
bd5e18407641328751af323534b34b19872a8765c5a2af8a2bbbb55dab38c95d;1;10025051;Anchorage;US;1301 East 64th Avenue;Não Informado;Não Informado;Não Informado;AK;99518
f68c2d2b80eb34aed10950fb9f899ac70444948d74f4d18005d73dada385d17e;2;10025758;Oklahoma City;US;4532 Enterprise Drive;Não Informado;Não Informado;Não Informado;OK;73128
72e72dad33c60b05ae5c34a6e48804cfa5b2c67e1250d89aee50eef3b0e2118a;3;10025062;Bedford Hills;US;731 North Beford Road;Não Informado;Não Informado;Não Informado;NY;10507
a97e902f81e51e487a5a17b58039778aabc9d2cd29c668d323fb4bfd0bc7a7bb;5;10020449;Santiago;UK;Attention: Rodrigo Yrarrazaval;Jose M Infante 2320 Nunoa;Não Informado;Não Informado;Não Informado;Não Informado
d5291d6f763ecce3b29d22d17b62557af17f586092d5fe90b03d216017700406;1;10023489;Sacramento;US;3248 Auburn Boulevard;Não Informado;Não Informado;Não Informado;CA;95821
c4093bf8295ffec1709cb0d0f1a444235b5903d2344c143572d2acaf19cc31d3;2;10016542;Greenville;US;Greenville PDC #23;52 Bruce Road;Não Informado;Não Informado;SC;29605
63540325c9f325c23b94d2daa47c48c666e9e0c70f0d9966efd19f28f3f94d57;5;10025304;Não Informado;UK;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado
95ba6ecce2e132a306e34d946b2226f8536659fb3eca5d006a077b980cd0baac;5;10025052;Songtan SI;AU;150-3 Chilkei-Dong;Não Informado;Não Informado;Não Informado;Não Informado;459-050
981be49a243aaebfd524617b741e8288089ff14589718e2be959767676ea5b7f;0;10025299;Montreal;CA;6260 - Place Northcrest Suite 305;Não Informado;Não Informado;Não Informado;QU;H3S 2T4
ab4721b34156c515b4eaa4ae02a5e6cbe0fcb847d7ad2bbb23ff598fb3740b22;5;10015956;"";"";"";"";"";"";"";""
b68e87d537c9211ac8fe7382285338e9195c3ab5cc11ae7794e23890c1665b51;1;10000480;Phoenix;US;Attention: Accounts Payable;PO Box 21502;Não Informado;Não Informado;AZ;85036-1502
9a5e5ae53845bff7664f3c5da58aa8fb46c917a4a682f835612d934a6d6af68e;0;10022240;Mississauga;CA;1665 Shawson Drive;Não Informado;Não Informado;Não Informado;ON;L4W 1T7
85b0e34576337e16b3df167c67fae812dfd88fa84ac3af22e92d91d02330d986;5;10021283;"";"";"";"";"";"";"";""
48c86f55f8d14fe10f9e2c54adc5212274a4ccb20a6c1481e6304dfd5fbd9529;5;10022755;Johannesburg;AU;PO Box 86222;City Deep 2049;Não Informado;Não Informado;Não Informado;Não Informado
